date,event,roadmap,election_date,election_date_text,days,read_more,conclusion,animation,background
5/22/2014,คณะรักษาความสงบแห่งชาติ (คสช.) รัฐประหารโค่นรัฐบาลพรรคเพื่อไทย,,,,0,https://www.thairath.co.th/content/424643,,,red
5/23/2014,,,,,,,,0,black
2/9/2015,ระหว่างพบนายกฯ ชินโซ อาเบะ พล.อ. ประยุทธ์ พูดถึงการเลือกตั้งว่าวางแผนจะจัดภายในต้นปีหน้า,1,12/31/2015,ปลายปี 2558,263,https://www.thairath.co.th/content/480015,,,white
3/1/2015,,,,,,,,1,white
6/1/2015,,,,,,,,2,white
9/5/2015,แต่แล้วสปช. ก็มีมติไม่เห็นชอบร่างรัฐธรรมนูญฉบับบวรศักดิ์ ทำให้ต้องนับหนึ่งเริ่มทำรัฐธรรมนูญใหม่,1,,,471,https://www.voicetv.co.th/read/254835,ร่างรัฐธรรมนูญไม่ผ่าน,,red
9/15/2015,,,,,,,,3,black
9/27/2015,พล.อ.ประยุทธ์ หารือกับ บัน คี มูน เลขาธิการ UN คาดว่าจะเลือกตั้งทั่วไปได้ภายในกลางปี 2560,2,6/30/2017,กลางปี 2560,493,https://www.thairath.co.th/content/528434,,,white
10/1/2015,,,,,,,,4,white
10/5/2015,พล.อ.ประยุทธ์ ตั้งกมธ. ขึ้นมาจัดทำรัฐธรรมนูญใหม่ ให้เวลาในการทำงานตามสูตร 6+4+6+4,2,,,501,https://ilaw.or.th/node/3877,,,white
12/5/2015,,,,,,,,5,white
2/4/2016,,,,,,,,6,white
4/6/2016,,,,,,,,7,white
6/6/2016,,,,,,,,8,white
8/7/2016,แต่ผลประชามติรัฐธรรมนูญทำให้ต้องปรับปรุงแก้ไขเนื้อหาใหม่ ทำให้การเลือกตั้งกลางปี 2560 เกิดขึ้นไม่ได้,2,,,808,https://prachatai.com/journal/2017/08/72712,ประชามติร่างรัฐธรรมนูญใหม่ไม่ผ่าน,,red
10/6/2016,,,,,,,,9,black
12/6/2016,,,,,,,,10,black
2/4/2017,,,,,,,,11,black
4/6/2017,ในที่สุดก็บังคับใช้รัฐธรรมนูญฉบับปีพ.ศ.2560 แต่ต้องรอ 8 เดือนจัดทำกฎหมายลูก และอีก 5 เดือนจัดเลือกตั้ง,3,,,"1,050",https://www.matichonweekly.com/column/article_31003,,,white
10/3/2017,พล.อ.ประยุทธ์ ให้สัญญากับโดนัลด์ ทรัมป์ ประธานาธิบดีสหรัฐฯ ว่าปี 2561 ไทยจะประกาศวันเลือกตั้ง,3,11/30/2018,ปี 2561,"1,230",https://www.facebook.com/thematterco/posts/1944251002456959/,,,white
10/6/2017,,,,,,,,12,white
10/10/2017,หลังประชุมครม. พล.อ.ประยุทธ์ บอกว่าจะประกาศวันเลือกตั้งเดือน มิ.ย. และจะจัดเลือกตั้งในเดือนพ.ย.,3,11/30/2018,เดือน พ.ย. 2561,"1,237",https://www.facebook.com/thematterco/posts/1947144625500930,,,white
11/15/2017,,,,,,,,12,white
12/22/2017,แต่แล้วคสช. ใช้มาตรา 44 แก้ไขพ.ร.บ.พรรคการเมือง ขยายเวลาปลดล็อกพรรคการเมืองไปอีก 90 วัน,3,,,"1,310",https://www.ilaw.or.th/node/4709,คสช. ขยายเวลาปลดล็อกพรรคการเมือง,,red
1/8/2018,,,,,,,,13,black
1/25/2018,สนช. ขยายเวลาบังคับใช้กม.เลือกตั้งส.ส. ไปอีก 90 วัน ทำให้การเลือกตั้งขยับไปเป็นต้นปี 2562,4,2/28/2019,ต้นปี 2562,"1,344",http://www.komchadluek.net/news/politic/310784,สนช. ขยายเวลาบังคับใช้กม.เลือกตั้งส.ส.,,white
3/16/2018,,,,,,,,14,white
5/5/2018,,,,,,,,15,white
6/25/2018,หลังสัญญากับเทเรซา เมย์ ว่าจะเลือกตั้งต้นปี 2562 วิษณุ เครืองาม ก็เผยว่าวันเลือกตั้งน่าจะอยู่ช่วง ก.พ.-พ.ค.,5,5/31/2019,เดือน พ.ค. 2562,"1,495",https://www.facebook.com/thematterco/posts/2069674233247968/,,,white
